ENS_ID,Endophyte_Name,Endophyte_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID
ENS00954,Trichoderma sp. HN-1,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MF101379.1,NA
ENS00955,Trichoderma sp. MFF-1,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,NA
ENS00956,Trichoderma sp. P8BDA1F1,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MK070908,NA
ENS00957,Trichoderma sp. Xy24,Endophytic Fungus,1715253,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,KX856006,NA
ENS00958,Trichoderma virens FY06,Endophytic Fungus,29875,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MN102106,NA
ENS00959,Trichoderma virens QA-8,Endophytic Fungus,29875,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,MK224593,NA
ENS00960,Trichothecium roseum,Endophytic Fungus,47278,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,No Rank at Level Family,Trichothecium,NA,NA
ENS00961,Ulocladium sp. CGMCC5507,Endophytic Fungus,1215875,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,JX073126,NA
ENS00962,Umbelopsis dimorpha SWUKD3,Endophytic Fungus,243148,Eukaryota,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,KM013438,NA
ENS00963,Westerdykella nigra,Endophytic Fungus,325665,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Westerdykella,LC469116,NA
ENS00964,Wickerhamomyces anomalus anomalus DMKU-CE52,Endophytic Fungus,4927,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,NA,NA
ENS00965,Wickerhamomyces anomalus anomalus DMKU-RE13,Endophytic Fungus,4927,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Wickerhamomyces,NA,NA
ENS00966,Xenoacremonium sinensis,Endophytic Fungus,2480843,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Xenoacremonium,MT876600,NA
ENS00967,Xylaria arbuscula isolate MoEF015,Endophytic Fungus,114810,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KY951913.1,NA
ENS00968,Xylaria cf. curta E10,Endophytic Fungus,42375,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,KJ883611.1
ENS00969,Xylaria curta E10,Endophytic Fungus,42375,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KJ883611.1,NA
ENS00970,Xylaria feejeensis,Endophytic Fungus,498163,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KM192122,NA
ENS00971,Xylaria feejeensis SM3e-1b,Endophytic Fungus,498163,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KR025539,NA
ENS00972,Xylaria feejeensis SRNE2BP,Endophytic Fungus,498163,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00973,Xylaria psidii,Endophytic Fungus,364009,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KU291350,NA
ENS00974,Xylaria sp.,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,JX624289.1
ENS00975,Xylaria sp. 214,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00976,Xylaria sp. 249,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00977,Xylaria sp. BL321,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00978,Xylaria sp. CFL5,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KU645984.1,NA
ENS00979,Xylaria sp. DO 1801,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,MK226495,NA
ENS00980,Xylaria sp. GDG-102,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KU645984,NA
ENS00981,Xylaria sp. hg1009,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,MG739623,NA
ENS00982,Xylaria sp. HNWSW-2,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00983,Xylaria sp. PB3,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,KP400260,NA
ENS00984,Xylaria sp. PB-30,Endophytic Fungus,415136,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,AB285482,NA
ENS00985,Xylaria sp. SC1440,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,MF399026,NA
ENS00986,Xylaria sp. SYPF 8246,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00987,Xylaria sp. XC16,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,NA,NA
ENS00988,Xylaria sp. YM 311647,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,HQ728090,NA
ENS00989,Xylaria sp. YX-28,Endophytic Fungus,1715255,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,DQ022415,NA
ENS00990,Xylariales sp. DSM 101972,Endophytic Fungus,1857579,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,No Rank at Level Family,No Rank at Level Genus,KX096659.1,NA
ENS00991,Xylariales sp. HM-1,Endophytic Fungus,1756188,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,No Rank at Level Family,No Rank at Level Genus,MT886697,NA
ENS00992,Xylomelasma sp. Samif07,Endophytic Fungus,1378259,Eukaryota,Fungi,Ascomycota,Sordariomycetes,No Rank at Level Order,No Rank at Level Family,Xylomelasma,KC878701,NA
ENS00993,Zasmidium sp. strain EM5-10,Endophytic Fungus,1962690,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Zasmidium,KX898455,NA
